attendance_id,student_id,course_id,date,permission,absent_class_periods,reason
154,2011551765,100107462101,29/07/2023,1,1,đi trễ 8h
155,2011551765,100107462101,31/08/2023,1,1,trễ
156,2100003779,100107462101,05/08/2023,2,0,
157,2100003779,100107462101,12/08/2023,2,0,
158,2100003779,100107462101,19/08/2023,0,4,
159,2100003779,100107462101,26/08/2023,0,4,
160,2100003779,100107462101,29/07/2023,0,4,
161,2100003779,100107462101,31/08/2023,0,4,
162,2100011310,100107462101,05/08/2023,2,0,
163,2100011310,100107462101,12/08/2023,2,0,
164,2100011310,100107462101,19/08/2023,0,4,
165,2100011310,100107462101,26/08/2023,2,0,
166,2100011310,100107462101,29/07/2023,2,0,
167,2100011310,100107462101,31/08/2023,0,4,
168,2200004486,100107462101,05/08/2023,2,0,
169,2200004486,100107462101,12/08/2023,2,0,
170,2200004486,100107462101,19/08/2023,2,0,
171,2200004486,100107462101,26/08/2023,2,0,
172,2200004486,100107462101,29/07/2023,2,0,
173,2200004486,100107462101,31/08/2023,2,0,
174,2000000998,100107462102,02/08/2023,2,0,
175,2000000998,100107462102,09/08/2023,1,1,đi trễ
176,2000000998,100107462102,16/08/2023,2,0,
177,2000000998,100107462102,23/08/2023,0,4,
178,2000000998,100107462102,26/07/2023,2,0,
179,2000000998,100107462102,30/08/2023,2,0,
180,2000001001,100107462102,02/08/2023,2,0,
181,2000001001,100107462102,09/08/2023,2,0,
182,2000001001,100107462102,16/08/2023,2,0,
183,2000001001,100107462102,23/08/2023,2,0,
184,2000001001,100107462102,26/07/2023,2,0,
185,2000001001,100107462102,30/08/2023,2,0,
186,2000001008,100107462102,02/08/2023,2,0,
187,2000001008,100107462102,09/08/2023,2,0,
188,2000001008,100107462102,16/08/2023,2,0,
189,2000001008,100107462102,23/08/2023,0,4,
190,2000001008,100107462102,26/07/2023,2,0,
191,2000001008,100107462102,30/08/2023,2,0,
192,2000001452,100107462102,02/08/2023,2,0,
193,2000001452,100107462102,09/08/2023,2,0,
194,2000001452,100107462102,16/08/2023,2,0,
195,2000001452,100107462102,23/08/2023,0,4,
196,2000001452,100107462102,26/07/2023,1,4,Xin nghỉ làm CCCD
197,2000001452,100107462102,30/08/2023,2,0,
198,2000002097,100107462102,02/08/2023,2,0,
199,2000002097,100107462102,09/08/2023,2,0,
200,2000002097,100107462102,16/08/2023,2,0,
201,2000002097,100107462102,23/08/2023,0,4,
202,2000002097,100107462102,26/07/2023,0,4,
203,2000002097,100107462102,30/08/2023,0,4,
204,2000002380,100107462102,02/08/2023,2,0,
205,2000002380,100107462102,09/08/2023,2,0,
206,2000002380,100107462102,16/08/2023,2,0,
207,2000002380,100107462102,23/08/2023,2,0,
208,2000002380,100107462102,26/07/2023,2,0,
209,2000002380,100107462102,30/08/2023,2,0,
210,2000002441,100107462102,02/08/2023,2,0,
211,2000002441,100107462102,09/08/2023,2,0,
212,2000002441,100107462102,16/08/2023,2,0,
213,2000002441,100107462102,23/08/2023,2,0,
214,2000002441,100107462102,26/07/2023,0,4,
215,2000002441,100107462102,30/08/2023,2,0,
216,2000002449,100107462102,02/08/2023,2,0,
217,2000002449,100107462102,09/08/2023,2,0,
218,2000002449,100107462102,16/08/2023,2,0,
219,2000002449,100107462102,23/08/2023,2,0,
220,2000002449,100107462102,26/07/2023,2,0,
221,2000002449,100107462102,30/08/2023,2,0,
222,2000002514,100107462102,02/08/2023,2,0,
223,2000002514,100107462102,09/08/2023,2,0,
224,2000002514,100107462102,16/08/2023,2,0,
225,2000002514,100107462102,23/08/2023,0,4,
226,2000002514,100107462102,26/07/2023,2,0,
227,2000002514,100107462102,30/08/2023,2,0,
228,2000002672,100107462102,02/08/2023,2,0,
229,2000002672,100107462102,09/08/2023,2,0,
230,2000002672,100107462102,16/08/2023,2,0,
231,2000002672,100107462102,23/08/2023,2,0,
232,2000002672,100107462102,26/07/2023,2,0,
233,2000002672,100107462102,30/08/2023,2,0,
234,2000002725,100107462102,02/08/2023,2,0,
235,2000002725,100107462102,09/08/2023,2,0,
236,2000002725,100107462102,16/08/2023,2,0,
237,2000002725,100107462102,23/08/2023,0,4,
238,2000002725,100107462102,26/07/2023,1,1,Đi trễ vào lúc 8AM
239,2000002725,100107462102,30/08/2023,2,0,
240,2000002779,100107462102,02/08/2023,2,0,
241,2000002779,100107462102,09/08/2023,2,0,
242,2000002779,100107462102,16/08/2023,2,0,
243,2000002779,100107462102,23/08/2023,0,4,
244,2000002779,100107462102,26/07/2023,2,0,
245,2000002779,100107462102,30/08/2023,2,0,
246,2000003074,100107462102,02/08/2023,0,4,
247,2000003074,100107462102,09/08/2023,0,4,
248,2000003074,100107462102,16/08/2023,0,4,
249,2000003074,100107462102,23/08/2023,2,0,
250,2000003074,100107462102,26/07/2023,2,0,
251,2000003074,100107462102,30/08/2023,0,4,
252,2000003076,100107462102,02/08/2023,2,0,
253,2000003076,100107462102,09/08/2023,2,0,
254,2000003076,100107462102,16/08/2023,2,0,
255,2000003076,100107462102,23/08/2023,2,0,
256,2000003076,100107462102,26/07/2023,2,0,
257,2000003076,100107462102,30/08/2023,0,4,
258,2000003127,100107462102,02/08/2023,2,0,
259,2000003127,100107462102,09/08/2023,2,0,
260,2000003127,100107462102,16/08/2023,2,0,
261,2000003127,100107462102,23/08/2023,0,4,
262,2000003127,100107462102,26/07/2023,2,0,
263,2000003127,100107462102,30/08/2023,2,0,
264,2000003434,100107462102,02/08/2023,2,0,
265,2000003434,100107462102,09/08/2023,2,0,
266,2000003434,100107462102,16/08/2023,2,0,
267,2000003434,100107462102,23/08/2023,2,0,
268,2000003434,100107462102,26/07/2023,2,0,
269,2000003434,100107462102,30/08/2023,2,0,
270,2000003979,100107462102,02/08/2023,2,0,
271,2000003979,100107462102,09/08/2023,2,0,
272,2000003979,100107462102,16/08/2023,2,0,
273,2000003979,100107462102,23/08/2023,2,0,
274,2000003979,100107462102,26/07/2023,2,0,
275,2000003979,100107462102,30/08/2023,2,0,
276,2000004154,100107462102,02/08/2023,2,0,
277,2000004154,100107462102,09/08/2023,2,0,
278,2000004154,100107462102,16/08/2023,2,0,
279,2000004154,100107462102,23/08/2023,2,0,
280,2000004154,100107462102,26/07/2023,2,0,
281,2000004154,100107462102,30/08/2023,2,0,
282,2000004387,100107462102,02/08/2023,2,0,
283,2000004387,100107462102,09/08/2023,2,0,
284,2000004387,100107462102,16/08/2023,2,0,
285,2000004387,100107462102,23/08/2023,1,4,sốt
286,2000004387,100107462102,26/07/2023,0,4,
287,2000004387,100107462102,30/08/2023,2,0,
288,2000004457,100107462102,02/08/2023,2,0,
289,2000004457,100107462102,09/08/2023,2,0,
290,2000004457,100107462102,16/08/2023,2,0,
291,2000004457,100107462102,23/08/2023,2,0,
292,2000004457,100107462102,26/07/2023,2,0,
293,2000004457,100107462102,30/08/2023,2,0,
294,2000004701,100107462102,02/08/2023,2,0,
295,2000004701,100107462102,09/08/2023,2,0,
296,2000004701,100107462102,16/08/2023,2,0,
297,2000004701,100107462102,23/08/2023,0,4,
298,2000004701,100107462102,26/07/2023,2,0,
299,2000004701,100107462102,30/08/2023,0,4,
300,2000004900,100107462102,02/08/2023,2,0,
301,2000004900,100107462102,09/08/2023,2,0,
302,2000004900,100107462102,16/08/2023,2,0,
303,2000004900,100107462102,23/08/2023,0,4,
304,2000004900,100107462102,26/07/2023,0,4,
305,2000004900,100107462102,30/08/2023,0,4,
306,2000005302,100107462102,02/08/2023,2,0,
307,2000005302,100107462102,09/08/2023,2,0,
308,2000005302,100107462102,16/08/2023,2,0,
309,2000005302,100107462102,23/08/2023,1,4,
310,2000005302,100107462102,26/07/2023,2,0,
311,2000005302,100107462102,30/08/2023,2,0,
312,2000006018,100107462102,02/08/2023,2,0,
313,2000006018,100107462102,09/08/2023,2,0,
314,2000006018,100107462102,16/08/2023,2,0,
315,2000006018,100107462102,23/08/2023,2,0,
316,2000006018,100107462102,26/07/2023,2,0,
317,2000006018,100107462102,30/08/2023,2,0,
318,2000006345,100107462102,02/08/2023,2,0,
319,2000006345,100107462102,09/08/2023,2,0,
320,2000006345,100107462102,16/08/2023,2,0,
321,2000006345,100107462102,23/08/2023,1,4,Sốt
322,2000006345,100107462102,26/07/2023,2,0,
323,2000006345,100107462102,30/08/2023,2,0,
324,2000006638,100107462102,02/08/2023,2,0,
325,2000006638,100107462102,09/08/2023,2,0,
326,2000006638,100107462102,16/08/2023,2,0,
327,2000006638,100107462102,23/08/2023,2,0,
328,2000006638,100107462102,26/07/2023,2,0,
329,2000006638,100107462102,30/08/2023,2,0,
330,2011549746,100107462102,02/08/2023,2,0,
331,2011549746,100107462102,09/08/2023,2,0,
332,2011549746,100107462102,16/08/2023,2,0,
333,2011549746,100107462102,23/08/2023,0,4,
334,2011549746,100107462102,26/07/2023,2,0,
335,2011549746,100107462102,30/08/2023,2,0,
336,2100004729,100107462102,02/08/2023,2,0,
337,2100004729,100107462102,09/08/2023,2,0,
338,2100004729,100107462102,16/08/2023,2,0,
339,2100004729,100107462102,23/08/2023,2,0,
340,2100004729,100107462102,26/07/2023,2,0,
341,2100004729,100107462102,30/08/2023,2,0,
342,1900007549,100107462901,05/12/2022,2,0,
343,1900007549,100107462901,07/11/2022,2,0,
344,1900007549,100107462901,07/11/2022,2,0,
345,1900007549,100107462901,10/10/2022,2,0,
346,1900007549,100107462901,12/12/2022,2,0,
347,1900007549,100107462901,17/10/2022,2,0,
348,1900007549,100107462901,19/12/2022,2,0,
349,1900007549,100107462901,24/10/2022,2,0,
350,1900007549,100107462901,26/12/2022,2,0,
351,1900007549,100107462901,28/11/2022,2,0,
352,1900007549,100107462901,31/10/2022,2,0,
353,1900007549,100107462901,31/10/2022,2,0,
354,1900007763,100107462901,05/12/2022,2,0,
355,1900007763,100107462901,07/11/2022,2,0,
356,1900007763,100107462901,07/11/2022,2,0,
357,1900007763,100107462901,10/10/2022,2,0,
358,1900007763,100107462901,12/12/2022,2,0,
359,1900007763,100107462901,17/10/2022,2,0,
360,1900007763,100107462901,19/12/2022,2,0,
361,1900007763,100107462901,24/10/2022,2,0,
362,1900007763,100107462901,26/12/2022,2,0,
363,1900007763,100107462901,28/11/2022,2,0,
364,1900007763,100107462901,31/10/2022,2,0,
365,1900007763,100107462901,31/10/2022,2,0,
366,1900009380,100107462901,05/12/2022,2,0,
367,1900009380,100107462901,07/11/2022,2,0,
368,1900009380,100107462901,07/11/2022,2,0,
369,1900009380,100107462901,10/10/2022,2,0,
370,1900009380,100107462901,12/12/2022,2,0,
371,1900009380,100107462901,17/10/2022,2,0,
372,1900009380,100107462901,19/12/2022,2,0,
373,1900009380,100107462901,24/10/2022,2,0,
374,1900009380,100107462901,26/12/2022,2,0,
375,1900009380,100107462901,28/11/2022,2,0,
376,1900009380,100107462901,31/10/2022,2,0,
377,1900009380,100107462901,31/10/2022,2,0,
378,1911547275,100107462901,05/12/2022,2,0,
379,1911547275,100107462901,07/11/2022,2,0,
380,1911547275,100107462901,07/11/2022,2,0,
