student id,excused absence rate,unexcused absence rate,attendance rate,absenteeism rate
2100009299,0.0,0.0,0.0,0.0
2100011741,0.0,0.0,0.0,0.0
2100011848,0.0,0.0,0.0,0.0
2100011852,0.0,0.0,0.0,0.0
2100011976,0.0,0.0,0.0,0.0
2100011992,0.0,0.0,0.0,0.0
2100012116,0.0,0.0,0.0,0.0
2100004822,0.0,0.0,0.0,0.0
2100007994,0.0,0.0,0.0,0.0
2100012076,0.0,0.0,0.0,0.0
2100004451,0.0,0.0,0.0,0.0
2100004998,0.0,0.0,0.0,0.0
2100009025,0.0,0.0,0.0,0.0
2100010779,0.0,0.0,0.0,0.0
2100011230,0.0,0.0,0.0,0.0
