attendance id,student id
568,2100004923
109,1900009054
110,2000004110
263,2000004110
341,2000004110
680,2000004110
112,2000005824
265,2000005824
345,2000005824
643,2000005824
130,1900006098
129,1900008106
438,1900008106
128,1911548779
127,2000002491
280,2000002491
378,2000002491
126,2000003905
386,2000003905
135,2000004762
282,2000004762
344,2000004762
162,2200000578
160,2200000601
414,2200000601
159,2200002177
413,2200002177
158,2200002309
412,2200002309
156,2200002340
422,2200002340
155,2200002438
425,2200002438
154,2200002455
153,2200002540
424,2200002540
152,2200003174
418,2200003174
151,2200003539
416,2200003539
149,2200003614
410,2200003614
147,2200003885
146,2200003930
415,2200003930
145,2200004133
417,2200004133
144,2200004202
143,2200004759
142,2200006775
419,2200006775
141,2200007007
140,2200007066
139,2200007072
169,2200007143
138,2200007239
136,2200007240
165,2200007402
148,2200007710
150,2200008421
310,2200008421
157,2200008609
303,2200008609
161,2200008716
163,2200008798
164,2200008906
168,2200009232
166,2200009825
137,2200009907
167,2200010444
200,2200000215
201,2200000268
203,2200000318
420,2200000318
189,2200000333
187,2200000337
171,2200000368
173,2200000400
179,2200000405
184,2200000548
170,2200000584
176,2200001248
178,2200001259
182,2200001268
183,2200001377
535,2200001377
185,2200001381
181,2200001450
180,2200001492
186,2200002208
205,2200002238
326,2200002238
421,2200002238
195,2200002381
193,2200002824
423,2200002824
191,2200004236
311,2200004236
177,2200004825
313,2200004825
190,2200005231
321,2200005231
192,2200005605
327,2200005605
194,2200005914
198,2200006185
197,2200006612
199,2200006625
202,2200008438
204,2200009837
196,2200009882
188,2200010565
172,2200011039
174,2200011573
175,2200011866
222,2100004235
528,2100004235
220,2200000327
219,2200001108
218,2200001483
294,2200001483
217,2200002160
312,2200002160
391,2200002160
216,2200002193
392,2200002193
215,2200002333
214,2200002592
394,2200002592
213,2200002925
324,2200002925
411,2200002925
212,2200003109
221,2200003659
210,2200003906
209,2200004209
323,2200004209
208,2200004831
322,2200004831
211,2200005098
320,2200005098
207,2200005193
319,2200005193
206,2200005824
318,2200005824
223,2200005842
317,2200005842
225,2200006122
316,2200006122
238,2200006124
315,2200006124
239,2200006748
240,2200007079
237,2200007177
314,2200007177
235,2200007265
234,2200008171
236,2200009261
233,2200009428
232,2200009501
231,2200009571
228,2200010174
408,2200010174
227,2200010286
226,2200010487
224,2200011240
229,2200011295
398,2200011295
230,2200011643
245,2000001371
328,2000001371
295,1911546534
329,1911546534
293,2000003645
374,2000003645
678,2000003645
287,2000004394
388,2000004394
674,2000004394
288,2100004092
515,2100004092
289,2100008882
549,2100008882
290,2100010440
435,2100010440
594,2100010440
608,2100010440
306,2200000633
407,2200000633
305,2200000873
519,2200000873
304,2200000946
302,2200002135
400,2200002135
307,2200003471
308,2200004766
309,2200006695
382,2100002240
475,2100002240
556,2100002240
381,2100003991
442,2100003991
525,2100003991
595,2100003991
380,2200006071
405,2200001578
404,2200002464
403,2200002704
402,2200003358
401,2200003451
399,2200003649
409,2200003893
492,2200003893
397,2200006549
396,2200008277
395,2200009759
393,2200010474
390,2200011116
441,2100002939
532,2100002939
620,2100002939
428,2100003547
446,2100003936
440,2100004337
557,2100004337
625,2100004337
443,2100004703
501,2100004703
598,2100004703
439,2100005013
444,2100005423
553,2100005423
627,2100005423
430,2100005858
551,2100005858
564,2100005858
628,2100005858
429,2100006037
431,2100006642
507,2100006642
600,2100006642
434,2100006970
508,2100006970
592,2100006970
635,2100006970
433,2100007916
432,2100009011
550,2100009011
436,2100010263
505,2100010263
427,2100010687
504,2100010687
572,2100010687
426,2100011754
437,2100012066
498,2100012066
567,2100012066
