score id,student id
433,2200000578
434,2200008798
435,2200008906
436,2200007402
437,2200009825
438,2200010444
439,2200009232
440,2200007143
441,2200000584
442,2200000368
443,2200011039
444,2200000400
445,2200011573
446,2200011866
447,2200001248
448,2200004825
449,2200001259
450,2200000405
451,2200001492
452,2200001450
453,2200001268
454,2200001377
455,2200000548
456,2200001381
457,2200002208
458,2200000337
459,2200010565
460,2200000333
461,2200005231
462,2200004236
463,2200005605
464,2200002824
465,2200005914
466,2200002381
467,2200009882
468,2200006612
469,2200006185
470,2200006625
471,2200000215
472,2200000268
473,2200008438
474,2200000318
475,2200009837
476,2200002238
477,2200005824
478,2200005193
479,2200004831
480,2200004209
481,2200003906
482,2200005098
483,2200003109
484,2200002925
485,2200002592
486,2200002333
487,2200002193
488,2200002160
489,2200001483
490,2200001108
491,2200000327
492,2200003659
493,2100004235
494,2200005842
495,2200011240
496,2200006122
497,2200010487
498,2200010286
499,2200010174
500,2200011295
501,2200011643
502,2200009571
503,2200009501
504,2200009428
505,2200008171
506,2200007265
507,2200009261
508,2200007177
509,2200006124
510,2200006748
511,2200007079
512,2000002441
513,2000002449
514,2000003678
515,2000003418
516,2000001371
517,2000002380
518,2100004729
519,2000003074
520,2000002097
521,2000000740
522,2000002779
523,2011549746
524,2000002725
525,2000003640
526,2000006161
527,2011549832
528,2000003730
529,2000001452
530,2000004387
531,2000004154
532,2000004070
533,2000003979
534,2000004110
535,2000004900
536,2000005824
537,2000003434
538,2000001001
539,2000005302
540,2000003308
541,2000006345
542,2000003127
543,2000006018
544,2000004278
545,2011551765
546,2000001008
547,2000001094
548,2000003649
549,2000004220
550,2000002664
551,2000002491
552,2000002665
553,2000004762
554,2000000655
555,2000001530
556,2000002677
557,2000003076
558,2000004394
559,2100004092
560,2100008882
561,2100010440
562,2000000998
563,2000002672
564,2000003645
565,2200001483
566,1911546534
567,2000002514
568,2000006633
569,2000005479
570,2000000558
571,2000004365
572,2000006638
573,2200002135
574,2200008609
575,2200000946
576,2200000873
577,2200000633
578,2200003471
579,2200004766
580,2200006695
581,2200008421
582,2200004236
583,2200002160
584,2200004825
585,2200007177
586,2200006124
587,2200006122
588,2200005842
589,2200005824
590,2200005193
591,2200005098
592,2200005231
593,2200004831
594,2200004209
595,2200002925
596,2011549832
597,2200002238
598,2200005605
599,2000001371
600,1911546534
601,2000000740
602,2000002441
603,2000003730
604,2000001001
605,2000002449
606,2000003434
607,2000003127
608,2000002514
609,2000002380
610,2000001008
611,2000003640
612,2000004110
613,2000002725
614,2000001452
615,2000004762
616,2000005824
617,2000003074
618,2000002779
619,2000003418
620,2011549832
621,2000003979
622,2000002097
623,2000004278
624,2011549746
625,2000004387
626,2000003678
627,2000004457
628,2000003308
629,2000006018
630,2000004154
631,2000004900
632,2000006161
633,2011551765
634,2000006345
635,2000004070
636,2000006633
637,2000004220
638,2100011310
639,2000004365
640,2000000558
641,2000000998
642,2000005479
643,2000003076
644,2000006638
645,2000003645
646,2000002677
647,2000002665
648,2000002664
649,2000002491
650,2000001094
651,2200006071
652,2100003991
653,2100002240
654,2000000655
655,2000001530
656,1900007784
657,2000003905
658,2000002672
659,2000004394
660,2000003649
661,2200011116
662,2200002160
663,2200002193
664,2200010474
665,2200002592
666,2200009759
667,2200008277
668,2200006549
669,2200011295
670,2200003649
671,2200002135
672,2200003451
673,2200003358
674,2200002704
675,2200002464
676,2200001578
677,2000000998
678,2200000633
679,2200010174
680,2200003893
681,2200003614
682,2200002925
683,2200002309
684,2200002177
685,2200000601
686,2200003930
687,2200003539
688,2200004133
689,2200003174
690,2200006775
691,2200000318
692,2200002238
693,2200002340
694,2200002824
695,2200002540
696,2200002438
697,2100011754
698,2100010687
699,2100003547
700,2100006037
701,2100005858
702,2100006642
703,2100009011
704,2100007916
705,2100006970
706,2100010440
707,2100010263
708,2100012066
709,1900008106
710,2100005013
711,2100004337
712,2100002939
713,2100003991
714,2100004703
715,2100005423
716,2100003779
717,2100003936
718,2100005569
719,2100008134
720,2100008035
721,2100012291
722,2100010315
723,2100009840
724,2100006285
725,2100012040
726,2100005929
727,2100011740
728,2100005686
729,2100006443
730,2100008107
731,2100009490
732,2100009421
733,2100008178
734,2100004426
735,2100005011
736,2100004729
737,2100003978
738,2100002892
739,2100003979
740,2100002099
741,2100003025
742,2100003284
743,2100002891
744,2100004816
745,2100011741
746,2100002240
747,2100011852
748,2100006019
749,2100006053
750,2100011848
751,2100005112
752,2100005113
753,2100002440
754,2100004750
755,2100004923
756,2100004330
757,2100011992
758,2000004070
759,2100007107
760,2100002375
761,2100012116
762,2100009299
763,2200003893
764,2100011976
765,2100006443
766,2100008035
767,2100008178
768,2100003025
769,2100012066
770,2100006285
771,2100009421
772,2100004703
773,2100008134
774,2100003979
775,2100010687
776,2100010263
777,2100004426
778,2100006642
779,2100006970
780,2100005011
781,2100004816
782,2100002891
783,2100002892
784,2100008107
785,2100004822
786,2100004092
787,2100012040
788,1900007784
789,2100011741
790,2200000873
791,2100011852
792,2100007994
793,2100002375
794,2100012076
795,2100004729
796,2100003991
797,2100004330
798,2100009299
799,2100004235
800,2100003284
801,2100003978
802,2100010315
803,2100002939
804,2100012116
805,2100011992
806,2200001377
807,2100003779
808,2100005569
809,2100005686
810,2100005929
811,2100004451
812,2100004998
813,2100009025
814,2100010779
815,2100011976
816,2100002099
817,2100006019
818,2100004750
819,2100002440
820,2100008882
821,2100009011
822,2100005858
823,2100009840
824,2100005423
825,2100009490
826,2100012291
827,2100002240
